"userId","movieId","predicted_rating","rating"
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,126,5,0
0,149,5,0
0,183,5,0
0,269,5,0
0,278,5,0
0,298,5,0
0,320,5,0
0,341,5,0
0,418,5,0
0,484,5,0
1,47,0,5
1,50,0,5
1,101,0,5
1,151,0,5
1,157,0,5
1,163,0,5
1,216,0,5
1,231,0,5
1,260,0,5
1,333,0,5
1,63,5,0
1,140,5,0
1,154,5,0
1,169,5,0
1,514,5,0
1,773,5,0
1,823,5,0
1,875,5,0
1,932,5,0
1,935,5,0
2,60756,0,5
2,80906,0,5
2,89774,0,5
2,106782,0,5
2,122882,0,5
2,131724,0,5
2,1704,0,4.5
2,58559,0,4.5
2,68157,0,4.5
2,80489,0,4.5
2,49,5,0
2,129,5,0
2,341,5,0
2,467,5,0
2,512,5,0
2,633,5,0
2,747,5,0
2,828,5,0
2,889,5,0
2,891,5,0
3,849,0,5
3,2851,0,5
3,3703,0,5
3,4518,0,5
3,5181,0,5
3,5746,0,5
3,5919,0,5
3,6835,0,5
3,7991,0,5
3,70946,0,5
3,30,5,0
3,149,5,0
3,178,5,0
3,269,5,0
3,278,5,0
3,283,5,0
3,299,5,0
3,320,5,0
3,331,5,0
3,568,5,0
4,125,0,5
4,162,0,5
4,176,0,5
4,215,0,5
4,232,0,5
4,260,0,5
4,265,0,5
4,319,0,5
4,342,0,5
4,457,0,5
4,1519,5,0
4,2493,5,0
4,3496,5,0
4,3872,5,0
4,4284,5,0
4,6344,5,0
4,6706,5,0
4,7312,5,0
4,27373,5,0
4,27695,5,0
5,58,0,5
5,247,0,5
5,290,0,5
5,296,0,5
5,475,0,5
5,527,0,5
5,590,0,5
5,594,0,5
5,595,0,5
5,596,0,5
5,1477,5,0
5,2820,5,0
5,3567,5,0
5,3899,5,0
5,4284,5,0
5,5109,5,0
5,6344,5,0
5,6751,5,0
5,6983,5,0
5,27695,5,0
6,3,0,5
6,5,0,5
6,22,0,5
6,36,0,5
6,86,0,5
6,110,0,5
6,160,0,5
6,168,0,5
6,230,0,5
6,248,0,5
6,334,5,0
6,1519,5,0
6,1686,5,0
6,2307,5,0
6,2350,5,0
6,3162,5,0
6,3370,5,0
6,3496,5,0
6,3643,5,0
6,1,0,0
7,260,0,5
7,356,0,5
7,466,0,5
7,480,0,5
7,593,0,5
7,1219,0,5
7,1240,0,5
7,1270,0,5
7,1584,0,5
7,2019,0,5
7,1140,5,0
7,1519,5,0
7,1685,5,0
7,2493,5,0
7,2820,5,0
7,3496,5,0
7,4284,5,0
7,6344,5,0
7,6983,5,0
7,7312,5,0
8,34,0,5
8,50,0,5
8,185,0,5
8,253,0,5
8,318,0,5
8,357,0,5
8,364,0,5
8,380,0,5
8,527,0,5
8,590,0,5
8,85,5,0
8,126,5,0
8,128,5,0
8,287,5,0
8,335,5,0
8,389,5,0
8,406,5,0
8,695,5,0
8,726,5,0
8,779,5,0
9,923,0,5
9,1198,0,5
9,1270,0,5
9,2300,0,5
9,4993,0,5
9,5481,0,5
9,5902,0,5
9,5952,0,5
9,223,0,4
9,922,0,4
9,25,5,0
9,390,5,0
9,445,5,0
9,507,5,0
9,805,5,0
9,941,5,0
9,955,5,0
9,1009,5,0
9,1011,5,0
9,1019,5,0
10,7458,0,5
10,8533,0,5
10,8869,0,5
10,33794,0,5
10,49272,0,5
10,49286,0,5
10,71579,0,5
10,79091,0,5
10,81845,0,5
10,91529,0,5
10,55,5,0
10,113,5,0
10,324,5,0
10,722,5,0
10,1140,5,0
10,1685,5,0
10,2493,5,0
10,3496,5,0
10,5385,5,0
10,6086,5,0
11,6,0,5
11,110,0,5
11,150,0,5
11,349,0,5
11,356,0,5
11,457,0,5
11,529,0,5
11,593,0,5
11,1101,0,5
11,1408,0,5
11,4,5,0
11,85,5,0
11,258,5,0
11,284,5,0
11,289,5,0
11,385,5,0
11,452,5,0
11,615,5,0
11,679,5,0
11,698,5,0
12,168,0,5
12,222,0,5
12,256,0,5
12,838,0,5
12,1357,0,5
12,1721,0,5
12,2072,0,5
12,2485,0,5
12,2572,0,5
12,2581,0,5
12,40,5,0
12,241,5,0
12,876,5,0
12,1162,5,0
12,1422,5,0
12,1458,5,0
12,1477,5,0
12,1718,5,0
12,1825,5,0
12,2573,5,0
13,47,0,5
13,1198,0,5
13,2571,0,5
13,3578,0,5
13,3996,0,5
13,4011,0,5
13,1590,0,4
13,1639,0,4
13,1721,0,4
13,3300,0,4
13,889,5,0
13,1167,5,0
13,3567,5,0
13,6125,5,0
13,6453,5,0
13,176389,5,0
13,176579,5,0
13,626,4.5,0
13,83,4,0
13,706,4,0
14,47,0,5
14,95,0,5
14,110,0,5
14,266,0,5
14,282,0,5
14,337,0,5
14,509,0,5
14,25,0,4
14,32,0,4
14,150,0,4
14,43,5,0
14,53,5,0
14,73,5,0
14,77,5,0
14,85,5,0
14,99,5,0
14,108,5,0
14,121,5,0
14,123,5,0
14,1,0,0
15,260,0,5
15,318,0,5
15,356,0,5
15,527,0,5
15,589,0,5
15,1196,0,5
15,1200,0,5
15,1210,0,5
15,1214,0,5
15,1270,0,5
15,177,4.5,0
15,178,4.5,0
15,381,4.5,0
15,841,4.5,0
15,1005,4.5,0
15,1412,4.5,0
15,1999,4.5,0
15,2112,4.5,0
15,2205,4.5,0
15,2290,4.5,0
16,1199,0,5
16,111,0,4.5
16,541,0,4.5
16,608,0,4.5
16,750,0,4.5
16,1222,0,4.5
16,1252,0,4.5
16,4226,0,4.5
16,5618,0,4.5
16,58559,0,4.5
16,103,5,0
16,187,5,0
16,190,5,0
16,298,5,0
16,1414,5,0
16,1477,5,0
16,1574,5,0
16,1739,5,0
16,2363,5,0
16,2538,5,0
17,260,0,5
17,296,0,5
17,318,0,5
17,356,0,5
17,858,0,5
17,1196,0,5
17,1201,0,5
17,1206,0,5
17,1210,0,5
17,1240,0,5
17,3,4.5,0
17,11,4.5,0
17,17,4.5,0
17,62,4.5,0
17,101,4.5,0
17,141,4.5,0
17,171,4.5,0
17,215,4.5,0
17,233,4.5,0
17,247,4.5,0
18,50,0,5
18,318,0,5
18,923,0,5
18,1201,0,5
18,1203,0,5
18,1209,0,5
18,1221,0,5
18,16,0,4.5
18,47,0,4.5
18,110,0,4.5
18,113829,5,0
18,114265,5,0
18,124851,5,0
18,189043,5,0
18,189111,5,0
18,190207,5,0
18,190209,5,0
18,190213,5,0
18,190215,5,0
18,190219,5,0
19,353,0,5
19,551,0,5
19,589,0,5
19,592,0,5
19,903,0,5
19,904,0,5
19,913,0,5
19,1097,0,5
19,1197,0,5
19,1198,0,5
19,55,5,0
19,83,5,0
19,113,5,0
19,148,5,0
19,285,5,0
19,324,5,0
19,451,5,0
19,496,5,0
19,685,5,0
19,706,5,0
20,48,0,5
20,364,0,5
20,551,0,5
20,588,0,5
20,594,0,5
20,595,0,5
20,661,0,5
20,720,0,5
20,919,0,5
20,1025,0,5
20,6125,5,0
20,6453,5,0
20,171,4.5,0
20,467,4.5,0
20,633,4.5,0
20,1105,4.5,0
20,2024,4.5,0
20,2670,4.5,0
20,3678,4.5,0
20,49824,4.5,0
21,10,0,5
21,370,0,5
21,1270,0,5
21,1722,0,5
21,2011,0,5
21,2012,0,5
21,2706,0,5
21,3082,0,5
21,5872,0,5
21,7573,0,5
21,148,5,0
21,294,5,0
21,496,5,0
21,656,5,0
21,692,5,0
21,808,5,0
21,1473,5,0
21,1677,5,0
21,1867,5,0
21,2475,5,0
22,318,0,5
22,356,0,5
22,541,0,5
22,1193,0,5
22,1952,0,5
22,3489,0,5
22,7438,0,5
22,49272,0,5
22,107,0,4.5
22,1953,0,4.5
22,2659,5,0
22,3568,5,0
22,3899,5,0
22,3912,5,0
22,5746,5,0
22,5764,5,0
22,6835,5,0
22,7899,5,0
22,1685,4.75,0
22,55,4.5,0
23,541,0,5
23,1212,0,5
23,1222,0,5
23,1232,0,5
23,1233,0,5
23,1258,0,5
23,1284,0,5
23,3949,0,5
23,6440,0,5
23,7587,0,5
23,1972,4.5,0
23,4338,4.5,0
23,5890,4.5,0
23,8804,4.5,0
23,26350,4.5,0
23,27768,4.5,0
23,27776,4.5,0
23,31522,4.5,0
23,141718,4.5,0
23,167732,4.5,0
24,6,0,4.5
24,318,0,4.5
24,356,0,4.5
24,593,0,4.5
24,1198,0,4.5
24,1265,0,4.5
24,3147,0,4.5
24,5064,0,4.5
24,6350,0,4.5
24,27773,0,4.5
24,3,5,0
24,11,5,0
24,17,5,0
24,21,5,0
24,30,5,0
24,34,5,0
24,62,5,0
24,68,5,0
24,70,5,0
24,76,5,0
25,260,0,5
25,527,0,5
25,1198,0,5
25,2028,0,5
25,2571,0,5
25,3578,0,5
25,4993,0,5
25,5952,0,5
25,7153,0,5
25,58559,0,5
25,484,4,0
25,618,4,0
25,685,4,0
25,1458,4,0
25,2493,4,0
25,3872,4,0
25,4402,4,0
25,6706,4,0
25,7096,4,0
25,27373,4,0
26,47,0,4
26,165,0,4
26,296,0,4
26,454,0,4
26,457,0,4
26,592,0,4
26,593,0,4
26,10,0,3
26,34,0,3
26,150,0,3
26,287,5,0
26,406,5,0
26,726,5,0
26,987,5,0
26,1140,5,0
26,2493,5,0
26,2965,5,0
26,3899,5,0
26,5307,5,0
26,6158,5,0
27,34,0,5
27,62,0,5
27,356,0,5
27,745,0,5
27,911,0,5
27,1035,0,5
27,1097,0,5
27,1148,0,5
27,1197,0,5
27,1198,0,5
27,1346,5,0
27,2837,5,0
27,3719,5,0
27,3746,5,0
27,4740,5,0
27,6030,5,0
27,8011,5,0
27,8973,5,0
27,38304,5,0
27,50954,5,0
28,2021,0,5
28,7842,0,5
28,53123,0,5
28,72998,0,5
28,293,0,4.5
28,296,0,4.5
28,589,0,4.5
28,858,0,4.5
28,1240,0,4.5
28,1266,0,4.5
28,4,5,0
28,55,5,0
28,113,5,0
28,295,5,0
28,324,5,0
28,385,5,0
28,390,5,0
28,452,5,0
28,1,0,0
28,2,0,0
29,924,0,5
29,953,0,5
29,1201,0,5
29,1250,0,5
29,1272,0,5
29,1408,0,5
29,1617,0,5
29,2028,0,5
29,3578,0,5
29,5995,0,5
29,4,5,0
29,13,5,0
29,27,5,0
29,30,5,0
29,63,5,0
29,68,5,0
29,80,5,0
29,82,5,0
29,85,5,0
29,126,5,0
30,110,0,5
30,260,0,5
30,318,0,5
30,1196,0,5
30,1198,0,5
30,1210,0,5
30,1291,0,5
30,2571,0,5
30,4993,0,5
